dataset,score,control,metric,mean,lower,upper,subjects
pamap2,APS,fixed_50,size_fraction,0.0028207504650971105,0.00012736819390286175,0.005652381720090505,8
pamap2,APS,variance_save,saving,0.01627152889355757,-0.0030915730232869074,0.03759229368284372,8
pamap2,APS,variance_save,coverage,-0.02206668745193005,-0.02630847230518696,-0.017972157810417888,8
pamap2,APS,variance_save,shortfall,0.01878771200268696,0.014653857804127866,0.02353271763294103,8
pamap2,APS,variance_save,size_fraction,-0.024387928399884018,-0.02734480929995164,-0.02187338493416972,8
pamap2,APS,matched_b4,saving,-0.004069355669067541,-0.004264186500052443,-0.0038771996644659935,8
pamap2,APS,matched_b4,coverage,-0.006509077558327581,-0.008221078536391332,-0.005205334622807395,8
pamap2,APS,matched_b4,shortfall,0.005095268481000763,0.0038554849068004613,0.00679455394217835,8
pamap2,APS,matched_b4,size_fraction,-0.008188152822423377,-0.010273305182157175,-0.006243504775479291,8
pamap2,APS,matched_b8,saving,-0.005751645070668526,-0.006164561929894768,-0.005342744913327695,8
pamap2,APS,matched_b8,coverage,-0.026765447699466982,-0.030208475438317665,-0.023467289856019966,8
pamap2,APS,matched_b8,shortfall,0.020988565841853768,0.017542193134168667,0.024832502149858333,8
pamap2,APS,matched_b8,size_fraction,-0.0351924409494223,-0.03947798860084528,-0.03067000193873807,8
pamap2,LAC,full_reference,saving,0.34778818747065515,0.32871549787942306,0.36637553005557744,8
pamap2,LAC,full_reference,coverage,-0.004597426260678189,-0.005770597914247999,-0.0033295525484591825,8
pamap2,LAC,full_reference,shortfall,0.006227496729808504,0.004531904575848038,0.008023156333421176,8
pamap2,LAC,full_reference,size_fraction,0.009679462909612264,0.006636574684946605,0.01302420198638466,8
pamap2,LAC,deterministic,saving,0.24184356828422937,0.22505693864133594,0.2609581881169638,8
pamap2,LAC,deterministic,coverage,-0.003943263939766059,-0.005097012632213557,-0.002725971472350458,8
pamap2,LAC,deterministic,shortfall,0.0051847539876523786,0.0036389753062181967,0.006786400880489539,8
pamap2,LAC,deterministic,size_fraction,0.007240791041812973,0.004535682452028726,0.010259895135428257,8
pamap2,LAC,two_plan,saving,0.08484148404971911,0.07704188684955304,0.09389594784630236,8
pamap2,LAC,two_plan,coverage,-0.0008659726322161748,-0.0015989850144543672,-0.0001634152485567902,8
pamap2,LAC,two_plan,shortfall,0.0015527988947151793,0.0007861416142697769,0.002335983574940166,8
pamap2,LAC,two_plan,size_fraction,0.003935534690493125,0.002882162168261468,0.005177344135800486,8
pamap2,LAC,restricted_b4,saving,0.0849543492404084,0.07055718167289665,0.09865888901429787,8
pamap2,LAC,restricted_b4,coverage,-0.0008569796342163677,-0.0017837367919385793,9.565150713114113e-05,8
pamap2,LAC,restricted_b4,shortfall,0.0016163738693991895,0.0005293326580300314,0.0026375426974410703,8
pamap2,LAC,restricted_b4,size_fraction,0.003089430768429959,0.0012680664387355288,0.004517457975331762,8
pamap2,LAC,restricted_b8,saving,0.1363109615854941,0.1251336453900596,0.1472313861641132,8
pamap2,LAC,restricted_b8,coverage,-0.005018237108741441,-0.007354546192323383,-0.0027668253072587615,8
pamap2,LAC,restricted_b8,shortfall,0.004851589099121238,0.0027068036645720517,0.007229473585119903,8
pamap2,LAC,restricted_b8,size_fraction,-0.00019003242792745706,-0.0029480339393444695,0.002059104268266182,8
pamap2,LAC,fixed_50,saving,-0.12699088173079728,-0.14539223563020132,-0.10788623356677357,8
pamap2,LAC,fixed_50,coverage,0.003182810802460717,0.0016067276528584258,0.004489645120321553,8
pamap2,LAC,fixed_50,shortfall,-0.0039895760438236685,-0.005403818283725883,-0.002236172530099593,8
pamap2,LAC,fixed_50,size_fraction,-0.0066865025543804135,-0.008404204130476095,-0.005017834214758144,8
pamap2,LAC,variance_save,saving,0.00463502123671964,-0.012953715318769583,0.02312910869274998,8
pamap2,LAC,variance_save,coverage,-0.008663045971695899,-0.010652929171900322,-0.006693411501414707,8
pamap2,LAC,variance_save,shortfall,0.006948237925318011,0.005190337153788863,0.008574330332064886,8
pamap2,LAC,variance_save,size_fraction,-0.007538748075648395,-0.011986899916103078,-0.003135498718672287,8
pamap2,LAC,matched_b4,saving,-0.004051444756431731,-0.004134290175923061,-0.003976969969387902,8
pamap2,LAC,matched_b4,coverage,-0.008145261326580208,-0.00997425159598199,-0.006465548641022677,8
