dataset,model,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
realdisp,IT,APS,martingale,0.1,0.8992143604635744,12.465090834598294,0.030015090182942024,0.0,0.0,0.0,389.995,6.944444444443999e-06
realdisp,IT,APS,martingale,0.25,0.8992324951637657,12.46638271260602,0.030010905641806935,1.8134700191246668e-05,0.0012918780077260212,-4.184541135085333e-06,389.84000000000003,0.000243055555555547
realdisp,IT,APS,martingale,0.5,0.8999504572706389,12.500891671467503,0.0296180228226771,0.0007360968070644237,0.03580083686920884,-0.000397067360264916,387.44,0.004069444444444421
realdisp,IT,APS,martingale,1.0,0.9035783028232731,12.689553734385147,0.02756014669761714,0.004363942359698559,0.22446289978685297,-0.0024549434853248717,374.83,0.025416666666666636
realdisp,IT,APS,midpoint,0.5,0.8994809200120442,12.480525930279507,0.029871833216046053,0.000266559548469817,0.015435095681212893,-0.00014325696689596542,379.18,0.019649305555555514
realdisp,IT,APS,no_intersection,0.5,0.9004328722357245,12.52887897912516,0.02937604779715991,0.001218511772150069,0.06378814452686647,-0.0006390423857820999,383.175,0.011204861111111082
realdisp,IT,APS,one_look_50,0.5,0.936058103924917,15.159781310384018,0.0140951372196649,0.03684374346134235,2.6946904757857237,-0.0159199529632771,195.0,0.5000000000000002
realdisp,IT,APS,sparse_checks,0.5,0.8992822691664697,12.468796546878144,0.02996804223789359,6.790870289524368e-05,0.0037057122798510216,-4.7047945048429844e-05,387.40999999999997,0.004388888888888874
realdisp,IT,APS,uncorrected,0.5,0.9008386614594175,12.555062721037046,0.02914126957388664,0.001624300995842959,0.08997188643875208,-0.0008738206090553678,352.095,0.06625347222222218
realdisp,IT,LAC,fixed_25,0.5,0.9013581466511386,3.3974061330738974,0.032307726973521085,0.0008955493495145703,0.536930115101608,0.0019148110440979208,97.5,0.7500000000000004
realdisp,IT,LAC,fixed_50,0.5,0.9002364116192528,2.9961093703869977,0.031424734948171745,-0.00022618568237107206,0.13563335241470886,0.0010318190187485804,195.0,0.5000000000000002
realdisp,IT,LAC,fixed_75,0.5,0.9009477641257306,2.913533486400885,0.03021752735035418,0.00048516682410672165,0.053057468428595954,-0.00017538857906897464,292.5,0.2500000000000001
realdisp,IT,LAC,full_reference,0.5,0.900462597301624,2.860476017972289,0.03039291592942316,0.0,0.0,0.0,390.0,0.0
realdisp,IT,LAC,horizon,0.1,0.9005351387389325,2.8629716642455656,0.030381060685544213,7.254143730857933e-05,0.002495646273276625,-1.1855243878942661e-05,386.885,0.0060138888888888594
realdisp,IT,LAC,horizon,0.25,0.9020966762700511,2.8910493505319734,0.02931697404724356,0.0016340789684269929,0.030573332559684696,-0.001075941882179583,375.335,0.02770833333333329
realdisp,IT,LAC,horizon,0.5,0.9064873672768983,2.9857247182584907,0.026544548874696157,0.006024769975274184,0.12524870028620186,-0.0038483670547269774,345.01500000000004,0.08812847222222218
realdisp,IT,LAC,horizon,1.0,0.9149821816585714,3.2100113953457265,0.021403918839824985,0.014519584356947375,0.34953537737343776,-0.008988997089598157,279.55,0.2278784722222222
realdisp,IT,LAC,hypergeom,0.1,0.9005532671335287,2.862385447203578,0.030356156557652076,9.066983190471567e-05,0.0019094292312887774,-3.675937177108322e-05,388.89000000000004,0.001972222222222205
realdisp,IT,LAC,hypergeom,0.25,0.9020189690857764,2.8886480714452802,0.02938110405613141,0.0015563717841523635,0.028172053472991048,-0.001011811873291733,381.21,0.01614930555555552
realdisp,IT,LAC,hypergeom,0.5,0.9067039022312061,2.9870645334717607,0.026368425215499522,0.006241304929582144,0.12658851549947187,-0.004024490713923614,358.55,0.061086805555555505
